Day,dT,Type,Destination,Handling,Terms,Expected bid,Distance,route
0,40,dry bulk,Ensulur,perishable+++,CIF,66905,2,m
0,60,break bulk,Ensulur,perishable+,DEQ,119622,2,m
0,30,RO/RO,Ensulur,none,CIF,47024,2,m
0,70,dry bulk,Ensulur,none,FOB,125698,2,m
0,40,wet bulk,Ensulur,none,CIF,67943,2,m
0,40,break bulk,Ensulur,none,CIF,67943,2,m
0,30,RO/RO,Ensulur,none,DFD,55349,2,m
0,40,break bulk,Ensulur,none,CIF,58063,2,m
0,30,break bulk,Ensulur,none,DES,43319,2,m
0,40,break bulk,Ensulur,fragile,CIF,65473,2,m
0,50,break bulk,Ensulur,none,CIF,94986,2,m
0,60,break bulk,Ensulur,none,CIF,82295,2,m
0,100,break bulk,Ensulur,flamable,DEQ,130344,2,m
0,50,break bulk,Ensulur,perishable++,CIF,90235,2,m
0,30,break bulk,Ensulur,valuable,DES,45599,2,m
0,20,break bulk,Ensulur,none,DES,18031,2,m
0,100,container,Ensulur,none,CIF,117652,2,m
0,100,break bulk,Ensulur,none,DES,123827,2,m
0,30,dry bulk,Ensulur,none,CIF,48877,2,m
0,40,container,Ensulur,none,CIF,70413,2,m
0,20,dry bulk,Dashinur,none,DEQ,60450,5,mmm
0,20,dry bulk,Dashinur,none,CIF,48165,5,mmm
0,40,wet bulk,Urima,none,DES,327973,9,mmmmmmm
0,10,break bulk,Urima,valuable+,CIF,58500,9,mmmmmmm
0,20,break bulk,Urima,none,DFD,97110,9,mmmmmmm
0,60,break bulk,Urima,none,FAS,414014,9,mmmmmmm
0,50,break bulk,Urima,none,FAS,286477,9,mmmmmmm
0,30,break bulk,Urima,flamable,DFD,270737,9,mmmmmmm
0,40,break bulk,Urima,none,CIF,294628,9,mmmmmmm
0,20,dry bulk,Urima,none,CIF,75582,9,mmmmmmm
0,60,dry bulk,Urima,none,CIF,520377,9,mmmmmmm
0,30,RO/RO,Urima,perishable,CIF,219944,9,mmmmmmm
0,60,break bulk,Shashamak,none,DFD,170889,3,mm
0,100,RO/RO,Shashamak,none,CIF,195003,3,mm
0,30,dry bulk,Shashamak,none,DEQ,94724,3,mm
0,40,break bulk,Shashamak,none,DFD,118979,3,mm
0,60,break bulk,Tunshaon Tyo,perishable++,CIF,330077,6,mmmm
0,50,break bulk,Tunshaon Tyo,explosive,CIF,220120,6,mmmm
1,30,break bulk,Ensulur,perishable+++,FOB,45599,2,m
1,80,dry bulk,Ensulur,flamable+,EXW,100884,2,m
1,70,wet bulk,Ensulur,none,DFD,107815,2,m
1,40,wet bulk,Ensulur,none,FOB,57347,2,m
1,40,dry bulk,Ensulur,none,CIF,67943,2,m
1,90,break bulk,Ensulur,explosive+,DES,161724,2,m
1,90,RO/RO,Ensulur,corrosive+,CIF,196824,2,m
1,50,break bulk,Ensulur,none,DEQ,90235,2,m
1,10,wet bulk,Ensulur,none,CIF,16673,2,m
1,30,wet bulk,Ensulur,none,CIF,52582,2,m
1,60,dry bulk,Ensulur,none,FOB,99024,2,m
1,20,dry bulk,Ensulur,living+++,CIF,28119,2,m
1,80,break bulk,Ensulur,none,EXW,99700,2,m
1,30,break bulk,Ensulur,none,DES,47024,2,m
1,40,break bulk,Ensulur,none,CIF,50653,2,m
1,50,break bulk,Ensulur,corrosive+++,CIF,108397,2,m
1,20,break bulk,Ensulur,fragile++,CIF,17680,2,m
1,30,break bulk,Ensulur,none,CIF,45172,2,m
1,20,dry bulk,Ensulur,none,CIF,20501,2,m
1,40,container,Ensulur,none,CIF,75353,2,m
1,20,dry bulk,Larimshar,valuable,DFD,68796,8,mmmmmm
1,40,break bulk,Dashinur,none,EXW,146453,5,mmm
1,70,dry bulk,Dashinur,none,DES,299285,5,mmm
1,50,break bulk,Dashinur,none,CIF,214309,5,mmm
1,40,RO/RO,Urima,radioactive+++,EXW,261283,9,mmmmmmm
1,70,break bulk,Urima,none,CIF,499810,9,mmmmmmm
1,60,break bulk,Urima,none,CIF,520377,9,mmmmmmm
1,70,dry bulk,Urima,none,DES,616517,9,mmmmmmm
1,50,RO/RO,Urima,perishable,CIF,371861,9,mmmmmmm
1,80,break bulk,Urima,perishable,CIF,590349,9,mmmmmmm
1,30,container,Urima,none,CIF,236617,9,mmmmmmm
1,50,break bulk,Shashamak,none,CIF,142479,3,mm
1,30,dry bulk,Shashamak,living++,CIF,65474,3,mm
1,40,break bulk,Shashamak,none,CIF,87095,3,mm
1,10,container,Shashamak,radioactive++,DFD,28958,3,mm
1,50,wet bulk,Tunshaon Tyo,corrosive+++,CIF,253528,6,mmmm
1,40,break bulk,Tunshaon Tyo,fragile+,CIF,152157,6,mmmm
2,50,container,Ensulur,corrosive++,DES,77685,2,m
2,80,dry bulk,Ensulur,flamable,DES,122494,2,m
2,50,wet bulk,Ensulur,none,CIF,73374,2,m
2,40,break bulk,Ensulur,explosive++,CIF,79319,2,m
2,30,break bulk,Ensulur,none,FAS,41039,2,m
2,20,break bulk,Ensulur,none,CIF,24206,2,m
2,70,break bulk,Ensulur,flamable+,CIF,135115,2,m
2,10,dry bulk,Ensulur,none,CIF,14203,2,m
2,70,break bulk,Ensulur,none,CIF,115392,2,m
2,10,RO/RO,Ensulur,none,DEQ,11700,2,m
2,30,break bulk,Ensulur,none,FAS,53324,2,m
2,60,break bulk,Ensulur,none,CIF,93410,2,m
2,40,wet bulk,Ensulur,flamable++,EXW,72883,2,m
2,80,break bulk,Ensulur,none,FOB,105564,2,m
2,80,dry bulk,Ensulur,none,CIF,96609,2,m
2,50,break bulk,Ensulur,explosive+++,CIF,111810,2,m
2,40,container,Dashinur,corrosive,CIF,157507,5,mmm
2,10,wet bulk,Dashinur,perishable+++,FOB,32500,5,mmm
2,40,break bulk,Dashinur,none,DEQ,198297,5,mmm
2,100,RO/RO,Urima,none,CIF,557220,9,mmmmmmm
2,50,RO/RO,Urima,none,FAS,378615,9,mmmmmmm
2,80,RO/RO,Urima,perishable++,CIF,410820,9,mmmmmmm
2,90,RO/RO,Urima,fragile+++,DFD,742619,9,mmmmmmm
2,30,dry bulk,Urima,none,FOB,192573,9,mmmmmmm
2,50,break bulk,Urima,living+++,CIF,441717,9,mmmmmmm
2,30,break bulk,Shashamak,living,EXW,79986,3,mm
2,20,break bulk,Shashamak,none,CIF,27047,3,mm
2,40,dry bulk,Shashamak,none,CIF,101915,3,mm
2,70,dry bulk,Shashamak,none,FAS,133265,3,mm
3,90,break bulk,Ensulur,flamable++,CIF,161724,2,m
3,30,break bulk,Ensulur,none,DFD,49499,2,m
3,40,break bulk,Ensulur,none,CIF,65473,2,m
3,20,dry bulk,Ensulur,flamable,CIF,13091,2,m
3,80,RO/RO,Ensulur,biohazard,CIF,106489,2,m
3,70,break bulk,Ensulur,none,CIF,128359,2,m
3,20,container,Ensulur,perishable,CIF,16796,2,m
3,40,dry bulk,Ensulur,none,FOB,64367,2,m
3,40,break bulk,Ensulur,none,CIF,70413,2,m
3,70,dry bulk,Ensulur,fragile++,CIF,112365,2,m
3,50,break bulk,Ensulur,fragile,CIF,79549,2,m
3,50,dry bulk,Ensulur,flamable+++,DES,94747,2,m
3,80,dry bulk,Ensulur,none,CIF,121309,2,m
3,50,RO/RO,Ensulur,flamable,DES,93485,2,m
3,50,dry bulk,Ensulur,flamable,DES,99985,2,m
3,50,dry bulk,Ensulur,radioactive+++,CIF,94747,2,m
3,70,RO/RO,Ensulur,none,DFD,139665,2,m
3,60,break bulk,Ensulur,biohazard++,CIF,90526,2,m
3,25,wet bulk,Larimshar,none,DES,126464,8,mmmmmm
3,15,dry bulk,Larimshar,none,CIF,54093,8,mmmmmm
3,10,container,Dashinur,none,DES,37050,5,mmm
3,90,wet bulk,Dashinur,none,CIF,439670,5,mmm
3,40,break bulk,Urima,none,CIF,283513,9,mmmmmmm
3,50,break bulk,Urima,none,CIF,357968,9,mmmmmmm
3,30,container,Urima,fragile,CIF,228280,9,mmmmmmm
3,30,break bulk,Urima,fragile++,DEQ,243096,9,mmmmmmm
3,70,break bulk,Urima,flamable+,FAS,519261,9,mmmmmmm
3,70,break bulk,Urima,none,CIF,597066,9,mmmmmmm
