Day,dT,Type,Destination,Handling,Terms,Expected bid,Distance,route
0,30,break bulk,Junction,none,CIF,36645,2,f
0,30,wet bulk,Junction,none,EXW,32980,2,f
0,25,break bulk,Barnard,none,CIF,22289,2,M
0,80,break bulk,Nusku,valuable,CIF,168002,6,MMM
0,40,dry bulk,Nusku,none,DFD,136593,6,MMM
0,90,break bulk,Nusku,none,CIF,129089,6,MMM
0,60,break bulk,Nusku,none,CIF,181601,6,MMM
0,30,wet bulk,Nusku,none,CIF,77880,6,MMM
0,60,break bulk,Nusku,none,EXW,152063,6,MMM
0,10,break bulk,Nusku,none,FAS,31493,6,MMM
0,30,break bulk,Nusku,none,FAS,83499,6,MMM
0,80,wet bulk,Nusku,none,DES,210122,6,MMM
0,30,dry bulk,Prometheus,none,CIF,24945,2,f
0,10,container,Prometheus,none,CIF,9100,2,f
0,30,break bulk,Prometheus,none,CIF,26895,2,f
0,70,break bulk,Prometheus,flamable,CIF,77157,2,f
0,80,wet bulk,Prometheus,corrosive++,DEQ,39846,2,f
0,10,break bulk,Prometheus,explosive++,CIF,13650,2,f
0,60,wet bulk,Prometheus,none,FAS,60192,2,f
0,50,break bulk,Prometheus,none,CIF,34312,2,f
0,50,RO/RO,Prometheus,none,CIF,34312,2,f
0,40,break bulk,Prometheus,none,EXW,31435,2,f
0,40,dry bulk,Prometheus,corrosive,DEQ,55784,2,f
0,70,break bulk,Prometheus,fragile,DFD,99887,2,f
0,10,break bulk,Prometheus,fragile+++,CIF,15016,2,f
0,40,break bulk,Prometheus,none,CIF,34928,2,f
0,40,break bulk,Prometheus,flamable,CIF,47928,2,f
0,90,break bulk,Prometheus,none,CIF,82911,2,f
0,20,break bulk,Prometheus,none,CIF,29640,2,f
0,50,break bulk,Prometheus,none,CIF,37562,2,f
0,90,break bulk,Prometheus,flamable+,CIF,87057,2,f
0,70,break bulk,Prometheus,none,CIF,63507,2,f
0,70,break bulk,Prometheus,explosive+,CIF,104902,2,f
0,40,break bulk,Prometheus,none,CIF,50528,2,f
0,80,break bulk,Prometheus,none,CIF,72623,2,f
0,10,wet bulk,Prometheus,none,DFD,15016,2,f
0,100,container,Prometheus,none,FAS,118502,2,f
0,30,container,Prometheus,none,EXW,24205,2,f
0,60,break bulk,Prometheus,none,CIF,71160,2,f
