Day,dT,Type,Destination,Handling,Terms,Expected bid,Distance,route
0,40,container,Junction,valuable+,FOB,32328,2,f
0,60,break bulk,Nusku,fragile+++,CIF,166679,6,MMM
0,70,wet bulk,Nusku,none,CIF,232893,6,MMM
0,80,container,Nusku,explosive+++,CIF,155469,6,MMM
0,40,wet bulk,Nusku,none,FOB,108955,6,MMM
0,20,wet bulk,Nusku,none,DEQ,62244,6,MMM
0,20,break bulk,Prometheus,corrosive++,CIF,27027,2,f
0,20,wet bulk,Prometheus,none,CIF,24440,2,f
0,20,wet bulk,Prometheus,perishable,CIF,25740,2,f
0,70,break bulk,Prometheus,none,DES,90807,2,f
0,40,break bulk,Prometheus,fragile+,CIF,47594,2,f
0,80,break bulk,Prometheus,none,CIF,36223,2,f
0,100,dry bulk,Prometheus,flamable++,DEQ,87163,2,f
0,40,break bulk,Prometheus,none,CIF,40128,2,f
0,70,break bulk,Prometheus,none,CIF,90807,2,f
0,10,wet bulk,Prometheus,radioactive+++,CIF,13586,2,f
0,20,break bulk,Prometheus,none,DFD,31122,2,f
0,60,RO/RO,Prometheus,none,DES,82860,2,f
0,30,dry bulk,Prometheus,none,EXW,24205,2,f
0,40,break bulk,Prometheus,none,CIF,37528,2,f
0,50,break bulk,Prometheus,none,DFD,39440,2,f
0,20,break bulk,Prometheus,fragile,EXW,21983,2,f
0,30,wet bulk,Prometheus,none,DEQ,26192,2,f
0,60,dry bulk,Prometheus,none,DFD,74718,2,f
0,40,break bulk,Prometheus,none,DES,50528,2,f
0,15,dry bulk,Peraspera,none,DEQ,23342,2,f
0,8,wet bulk,Procyon,none,CIF,17680,4,ff
1,80,break bulk,Nusku,fragile++,DFD,146863,6,MMM
1,60,break bulk,Nusku,none,CIF,234251,6,MMM
1,40,dry bulk,Nusku,corrosive,CIF,108344,6,MMM
1,50,break bulk,Nusku,explosive,FAS,104071,6,MMM
1,30,container,Prometheus,explosive++,CIF,32335,2,f
1,50,break bulk,Prometheus,none,CIF,44062,2,f
1,30,wet bulk,Prometheus,fragile+,DES,26192,2,f
1,40,wet bulk,Prometheus,none,DFD,50324,2,f
1,70,break bulk,Prometheus,fragile++,CIF,95347,2,f
1,30,break bulk,Prometheus,none,CIF,30795,2,f
1,70,dry bulk,Prometheus,none,CIF,109007,2,f
1,80,container,Prometheus,valuable++,CIF,43495,2,f
1,20,wet bulk,Prometheus,none,CIF,24440,2,f
1,30,wet bulk,Prometheus,none,CIF,30795,2,f
1,70,wet bulk,Prometheus,none,FOB,68977,2,f
1,70,wet bulk,Prometheus,none,DES,72607,2,f
1,15,break bulk,Peraspera,none,CIF,23205,2,f
2,25,break bulk,Barnard,fragile+,DFD,18265,2,M
2,40,wet bulk,Nusku,none,CIF,73244,6,MMM
2,90,break bulk,Nusku,none,FAS,92083,6,MMM
2,80,break bulk,Nusku,none,CIF,41642,6,MMM
2,50,wet bulk,Nusku,none,CIF,118968,6,MMM
2,50,break bulk,Nusku,none,DFD,107052,6,MMM
2,50,container,Nusku,none,DEQ,153364,6,MMM
2,20,break bulk,Nusku,none,CIF,73008,6,MMM
2,3,dry bulk,Inferno,none,DES,9705,5,f--
2,20,container,Prometheus,flamable+,DFD,26885,2,f
2,40,RO/RO,Prometheus,flamable+++,CIF,64161,2,f
2,50,break bulk,Prometheus,fragile+++,DEQ,73097,2,f
2,50,dry bulk,Prometheus,living,CIF,31062,2,f
2,30,break bulk,Prometheus,none,CIF,30795,2,f
2,80,container,Prometheus,none,CIF,51823,2,f
2,60,container,Prometheus,none,CIF,63360,2,f
2,40,dry bulk,Prometheus,none,DEQ,47594,2,f
2,50,RO/RO,Prometheus,none,CIF,31062,2,f
2,30,wet bulk,Prometheus,none,CIF,40545,2,f
2,10,dry bulk,Prometheus,none,CIF,12350,2,f
2,60,wet bulk,Prometheus,perishable+++,CIF,73986,2,f
2,40,dry bulk,Prometheus,none,FOB,40591,2,f
2,20,break bulk,Prometheus,fragile++,FAS,23140,2,f
2,30,dry bulk,Prometheus,none,EXW,36490,2,f
2,50,dry bulk,Prometheus,none,DFD,46265,2,f
